Asset,Start,End,Duration,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN
MDLZ,2007-12-06,2023-05-10,15Y 5M 1W 2D,1.891435291316328,1.07227091930352,3.616026675028147,66,1.0,0.04263566684978115,0.008219192017158927,0.016246529080356363,0.016246529080356363,0.0,0.0078058715497133346,0.04863629187045393,0.12391436931993506,0.0,0.0,107.227091930352,66.0,0.15039653571037276,16.908736628608395
GSK,2008-01-09,2022-04-08,14Y 3M 3D,0.500047299617929,0.42768365061351366,0.5948837842414718,47,0.9787234042553191,0.03219679815404011,-0.17529351183926756,0.009099652140713057,0.013108199183756114,-0.17529351183926756,0.028154485662818425,0.019833787386797974,0.44693860412850644,-0.7832775308750046,-0.1593567073350062,3.4398144924249734,46.0,-0.022746329180996356,2.2157773652002732
MTB,2008-04-16,2018-03-08,9Y 10M 4W,2.1755522493581947,1.1847817512918382,1.4561429337973375,54,1.0,0.1387052938761839,0.007170508081406957,0.021940402801700707,0.021940402801700707,0.0,0.026124550668431147,0.08392930018701006,0.4147143850918502,0.0,0.0,118.47817512918381,54.0,0.1300396179290137,6.171527192646402
NRG,2023-12-26,2023-12-26,,0.114134358546649,0.114134358546649,0.36396423850258386,1,1.0,0.114134358546649,0.114134358546649,0.114134358546649,0.114134358546649,0.0,0.0,673390557773.8187,0.0,0.0,0.0,11.413435854664899,1.0,67339055777378.87,11.413435854664899
ETN,2009-06-10,2023-12-11,14Y 6M 1W,4.777071646807756,1.7713067342499855,8.48174691055854,100,1.0,0.0448782214829575,0.010042761289853486,0.017713067342499854,0.017713067342499854,0.0,0.006339516185974757,0.08702006263553419,0.10063669956334745,0.0,0.0,177.13067342499855,100.0,0.5665931303683301,27.940724217547388
BDX,2009-07-29,2023-07-24,13Y 12M 3D,2.1286645448861123,1.1496336308420887,3.8695820028528845,91,1.0,0.03874061870933132,0.006685399755790855,0.012633336602660316,0.012633336602660316,0.0,0.006479382950335546,0.057884436577025244,0.10285701561443895,0.0,0.0,114.96336308420886,91.0,0.2710990243149818,18.599664693918342
XOM,2023-02-10,2023-02-10,,0.3335423194825875,0.3335423194825876,1.5981914125474903,1,1.0,0.3335423194825876,0.3335423194825876,0.3335423194825876,0.3335423194825876,0.0,0.0,3.1747842017605103e+31,0.0,0.0,0.0,33.35423194825876,1.0,3.17478420176051e+33,33.35423194825876
WMT,2009-11-11,2023-11-15,14Y 1W,2.365361044285085,1.227735983871614,3.358349629633313,67,1.0,0.051259349834784196,0.006544621879243651,0.018324417669725583,0.018324417669725583,0.0,0.009890680148446122,0.06158567052667396,0.1570096798204311,0.0,0.0,122.7735983871614,67.0,0.2011702116888454,15.164965474027719
NSRGY,2009-10-22,2021-11-03,12Y 2W 1D,1.5274060147111923,0.9763466310061977,3.045970291030036,12,1.0,0.21271078924059417,0.04780875661464312,0.08136221925051647,0.08136221925051647,0.0,0.050674214400503244,0.05460186073970452,0.8044282151237977,0.0,0.0,97.63466310061976,12.0,0.03058304057114458,5.561941086828318
RSG,2015-12-29,2023-11-30,7Y 11M 1W 1D,1.9882085279695687,1.2508012524414807,7.388710208388742,5,1.0,0.4571548639039553,0.12779801738700092,0.25016025048829615,0.25016025048829615,0.0,0.1327980218195394,0.10004772394810413,2.108103242014983,0.0,0.0,125.08012524414806,5.0,0.03322784318720111,4.2122263396388995
TRV,2013-02-01,2022-01-07,8Y 11M 1W 5D,1.234135108232684,0.9370416531480193,4.372228310706735,3,1.0,0.4778750346759033,0.21717946957319212,0.31234721771600643,0.31234721771600643,0.0,0.14388693088329435,0.06406908964244784,2.284134216177217,0.0,0.0,93.70416531480193,3.0,0.014915537537661297,3.759905415771937
